avg_price,avg_beds,avg_baths,avg_sqft,num_for_sale,zipcode
141373.0,3.0,2.0,1298.0,13,64132
145392.0,4.0,2.0,1891.0,6,64127
160448.0,3.0,2.0,1476.0,17,64130
191123.0,3.0,2.0,1471.0,26,64134
184647.0,4.0,2.0,2075.0,16,64128
348680.0,4.0,3.0,2699.0,10,64123
220760.0,3.0,2.0,1658.0,20,64138
228107.0,3.0,2.0,1630.0,15,64117
422321.0,4.0,3.0,3389.0,12,64109
335250.0,3.0,2.0,2199.0,10,64116
268345.0,3.0,2.0,2130.0,23,64133
554000.0,4.0,4.0,3068.0,40,64157
1253426.0,4.0,4.0,3495.0,23,64113
298338.0,3.0,3.0,1953.0,16,64118
427114.0,4.0,3.0,2641.0,28,64155
410755.0,4.0,3.0,2093.0,21,64110
264854.0,3.0,2.0,1661.0,22,64119
614828.0,4.0,4.0,3006.0,18,64111
704570.0,3.0,3.0,2205.0,5,64108
3956667.0,4.0,3.0,3005.0,3,64146
641088.0,4.0,4.0,2625.0,8,64156
1236354.0,4.0,4.0,4002.0,11,64112
68500.0,2.0,1.0,667.0,2,64125
167100.0,3.0,2.0,1209.0,5,64129
309864.0,3.0,3.0,1934.0,11,64137
323369.0,3.0,2.0,1721.0,29,64114
505974.0,4.0,4.0,3197.0,17,64151
308485.0,3.0,2.0,1934.0,27,64131
315950.0,3.0,2.0,1458.0,1,64163
508667.0,4.0,3.0,2591.0,3,64153
494967.0,4.0,4.0,2837.0,6,64154
284400.0,4.0,3.0,2470.0,6,64124
778500.0,5.0,5.0,3750.0,4,64158
565393.0,4.0,4.0,3474.0,14,64145
749950.0,3.0,3.0,3811.0,1,64149
124000.0,3.0,2.0,1391.0,2,64126
292000.0,3.0,2.0,1479.0,2,64152