Offense,Total,Category
Rape,500,Sex Crimes
Arson,185,Violence
Murder,751,Violence
Sodomy,170,Sex Crimes
Suicide,15,Violence
Casualty,175,Violence
Dead Body,229,Violence
Kidnapping,104,Theft
Animal Bite,12,Violence
Molestation,109,Sex Crimes
Stolen Auto,12062,Theft
Embezzlement,317,Theft
Sexual Abuse,40,Sex Crimes
Identity Theft,778,Theft
Property Damage,7975,Theft
Rape - Juvenile,139,Sex Crimes
Abuse of a Child,813,Violence
Rape - Statutory,94,Sex Crimes
Stealing - Other,3246,Theft
Sexual Misconduct,359,Sex Crimes
Sodomy - Juvenile,139,Sex Crimes
Disorderly Conduct,1024,Violence
Robbery (Business),698,Theft
Stealing - Shoplift,7071,Theft
Terroristic Threats,353,Violence
Animal Abuse/Cruelty,12,Violence
Assault (Aggravated),6731,Violence
Burning or Exploding,87,Violence
City Weapons Offense,517,Violence
Liquor Law Violation,32,Drugs
Enticement of a Minor,29,Sex Crimes
Robbery (Residential),174,Theft
Suicide â€“ Attempted,22,Violence
Burglary (Residential),2588,Theft
Promoting Prostitution,7,Sex Crimes
Robbery (Armed Street),1570,Theft
Sexual Abuse - Juvenile,65,Sex Crimes
Soliciting Prostitution,40,Sex Crimes
Stealing - Purse Snatch,82,Theft
Alcohol Influence Report,1052,Drugs
Assault (Non-Aggravated),5919,Violence
Patronizing Prostitution,11,Sex Crimes
Trespass of Real Property,3926,Theft
Burglary (Non-Residential),2338,Theft
Sexual Misconduct - Juvenile,337,Sex Crimes
Possession of Illegal Firearm,64,Violence
Robbery (Strong Armed Street),801,Theft
Trafficking in Identifications,128,Sex Crimes
Possession of Drug Paraphernalia,59,Drugs
Stealing from Building/Residence,2390,Theft
Domestic Violence Property Damage,991,Violence
Domestic Violence Robbery (Armed),52,Violence
Stealing from Auto (Theft from Auto),5879,Theft
Human Trafficking/Commercial Sex Acts,14,Sex Crimes
Domestic Violence Assault (Aggravated),2577,Violence
Harassment / Intimidation - Sex Crimes,242,Sex Crimes
Domestic Violence Burglary (Residential),157,Theft
Domestic Violence Robbery (Strong-Armed),95,Violence
Domestic Violence Assault (Non-Aggravated),8323,Violence
Stealing from Auto (Auto Part or Accessory),2217,Theft
Possession/Distribution of Child Pornography,86,Sex Crimes
Fraudulently Obtaining a Controlled Substance,6,Drugs
Harassment / Intimidation - Domestic Violence,1913,Violence
Fraud / Stealing Through Deceit (Scam/Confidence Game),1542,Theft
Possession/Sale/Distribution of a Controlled Substance,993,Drugs
Possession/Sale/Distribution of an Imitation Controlled Substance,7,Drugs
Felon/Prohibited Person in Possession of a Firearm/Ammunition/Body Armor,387,Violence
Assault (Non-Aggravated) on Department Member/Outside Law Enforcement Officer,579,Violence