Category,total,Zip_Code
Violence,56,64101
Theft,157,64101
Violence,42,64102
Theft,130,64102
Drugs,5,64102
Violence,1,64103
Violence,1,64104
Theft,4,64104
Sex Crimes,28,64105
Violence,369,64105
Theft,1954,64105
Drugs,38,64105
Sex Crimes,123,64106
Violence,1532,64106
Theft,2499,64106
Drugs,127,64106
Sex Crimes,102,64108
Violence,1282,64108
Theft,3580,64108
Drugs,123,64108
Sex Crimes,71,64109
Violence,1104,64109
Theft,1427,64109
Drugs,75,64109
Sex Crimes,80,64110
Violence,929,64110
Theft,1445,64110
Drugs,53,64110
Sex Crimes,135,64111
Violence,1459,64111
Theft,5303,64111
Drugs,254,64111
Sex Crimes,21,64112
Violence,192,64112
Theft,1599,64112
Drugs,45,64112
Sex Crimes,9,64113
Theft,463,64113
Violence,50,64113
Drugs,10,64113
Sex Crimes,71,64114
Violence,562,64114
Theft,2323,64114
Drugs,26,64114
Sex Crimes,3,64115
Theft,1,64115
Sex Crimes,31,64116
Violence,384,64116
Theft,676,64116
Drugs,21,64116
Sex Crimes,149,64117
Violence,560,64117
Theft,1010,64117
Drugs,22,64117
Sex Crimes,52,64118
Violence,600,64118
Theft,1083,64118
Drugs,34,64118
Sex Crimes,77,64119
Violence,468,64119
Theft,728,64119
Drugs,9,64119
Sex Crimes,9,64120
Violence,207,64120
Theft,859,64120
Drugs,37,64120
Theft,2,64121
Violence,2,64121
Theft,1,64122
Sex Crimes,40,64123
Violence,662,64123
Theft,965,64123
Drugs,63,64123
Sex Crimes,78,64124
Violence,1031,64124
Theft,1489,64124
Drugs,66,64124
Sex Crimes,6,64125
Violence,202,64125
Theft,240,64125
Drugs,15,64125
Sex Crimes,37,64126
Violence,523,64126
Theft,616,64126
Drugs,25,64126
Sex Crimes,145,64127
Violence,2145,64127
Theft,2061,64127
Drugs,134,64127
Sex Crimes,99,64128
Violence,1850,64128
Theft,1469,64128
Drugs,131,64128
Sex Crimes,47,64129
Violence,906,64129
Theft,1233,64129
Drugs,35,64129
Sex Crimes,137,64130
Violence,2857,64130
Theft,2120,64130
Drugs,174,64130
Sex Crimes,113,64131
Violence,1568,64131
Theft,2176,64131
Drugs,47,64131
Sex Crimes,83,64132
Violence,2246,64132
Theft,1851,64132
Drugs,70,64132
Sex Crimes,86,64133
Violence,897,64133
Theft,2743,64133
Drugs,48,64133
Sex Crimes,96,64134
Violence,1592,64134
Theft,1258,64134
Drugs,42,64134
Sex Crimes,8,64136
Violence,110,64136
Theft,147,64136
Drugs,2,64136
Sex Crimes,46,64137
Violence,488,64137
Theft,925,64137
Drugs,18,64137
Sex Crimes,35,64138
Violence,770,64138
Theft,946,64138
Drugs,19,64138
Sex Crimes,18,64139
Theft,107,64139
Violence,40,64139
Drugs,4,64139
Violence,2,64141
Theft,1,64144
Violence,105,64145
Theft,656,64145
Sex Crimes,28,64145
Drugs,10,64145
Sex Crimes,3,64146
Violence,8,64146
Theft,57,64146
Drugs,1,64146
Violence,85,64147
Theft,117,64147
Sex Crimes,6,64147
Drugs,2,64147
Violence,5,64149
Theft,9,64149
Drugs,1,64149
Sex Crimes,2,64150
Theft,1,64150
Sex Crimes,52,64151
Violence,479,64151
Theft,1067,64151
Drugs,22,64151
Sex Crimes,31,64152
Violence,129,64152
Theft,198,64152
Drugs,14,64152
Sex Crimes,30,64153
Violence,170,64153
Theft,1072,64153
Drugs,18,64153
Sex Crimes,37,64154
Violence,212,64154
Theft,1964,64154
Drugs,86,64154
Violence,410,64155
Theft,1112,64155
Sex Crimes,51,64155
Drugs,34,64155
Sex Crimes,22,64156
Violence,122,64156
Theft,145,64156
Drugs,11,64156
Sex Crimes,28,64157
Violence,215,64157
Theft,577,64157
Drugs,8,64157
Theft,400,64158
Sex Crimes,10,64158
Violence,86,64158
Drugs,2,64158
Theft,3,64160
Violence,2,64160
Theft,263,64161
Sex Crimes,3,64161
Violence,65,64161
Drugs,8,64161
Theft,17,64163
Violence,4,64163
Drugs,1,64163
Theft,6,64164
Violence,4,64164
Theft,15,64165
Violence,2,64165
Violence,1,64183